Country,Rank,Company,Industry,Location,Employees,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Netherlands,34,Brabantia,Consumer Goods,Valkenswaard,1000+,4,5,3,3,5,20,5,WARM,B-Corp Lean production,"Strong Lean culture sites"
Netherlands,35,Dinnissen,Process Technology,Sevenum,200+,4,4,3,4,4,19,5,WARM,Cloud Productivity Platform,"ISO 27001; works with LSS clients"
Netherlands,36,Walraven,Installation Systems,Mijdrecht,1000,4,5,3,3,4,19,5,WARM,CI focus logistics/mfg,"Multinational; warehouse CI"
Netherlands,37,Ploeger Oxbo,Agri-Machinery,Genemuiden,700+,3,5,3,4,4,19,5,WARM,Merged entity tech harvesting,"O365/Azure disaster recovery"
Netherlands,38,Aeronamic,Aerospace,Zaandam,200+,5,4,5,2,3,19,5,WARM,10+ Black Belts (high ratio),"F35 components; critical tolerance"
Netherlands,39,Verder Scientific,Lab Equipment / Pumps,Vleuten,1300,4,5,3,3,4,19,5,WARM,Passion for Pumps production,"Global group; centralized IT likely"
Netherlands,40,Oerlemans Packaging,Packaging (Flexible),Genderen,750,4,5,3,3,4,19,5,WARM,Sustainability waste dashboards,"Sustainable Innovator; data analytics"
Netherlands,41,Morssinkhof Rymoplast,Plastics Recycling,Emmen,350+,3,4,4,2,4,17,5,WARM,Consistent quality from waste,"High-vol recycling; quality challenge"
Netherlands,42,Voortman Steel Group,Machinery (Steel),Rijssen,500+,3,5,3,4,2,17,5,WARM,Steel processing machinery QC,"Azure MFA usage; service-oriented"
Netherlands,43,Bronkhorst High-Tech,Fluidics / Measurement,Ruurlo,600+,3,5,4,2,3,17,5,WARM,Mass flow precision cleanroom,"High precision; likely SPC/Minitab"
Netherlands,44,ITM Group (Tembo),Tobacco / E-cig Mach.,Boxmeer,1000+,4,5,3,2,3,17,5,WARM,Acquired Gemba Solutions OEE,"High-speed production CI"
Netherlands,45,Sioux Technologies,High-Tech Systems,Eindhoven,900+,3,5,3,4,2,17,5,WARM,ASML/Philips integrator,"Azure for clients; mechatronics"
Netherlands,46,Kiremko,Food Processing Equip.,Montfoort,180+,4,4,3,3,3,17,5,WARM,Potato processing CI pillar,"SAP S/4HANA (Azure-linked)"
Netherlands,47,Zuidberg,Agri-Machinery (Tracks),Ens,350+,5,4,3,2,3,17,5,WARM,Lean performance pioneers,"In-house gear; BB Purchase Mgr"
Netherlands,48,Motip Dupli,Chemicals / Paint,Wolvega,700+,3,5,3,2,3,16,5,WARM,OEE downtime reduction,"High-vol aerosols"
Netherlands,49,Heesen Yachts,Superyachts,Oss,1000+,3,5,2,2,4,16,5,WARM,Custom manufacturing CI,"Complex projects"
Netherlands,50,Stertil Group,Industrial Lifts,Kootstertille,450+,3,4,3,2,3,15,5,WARM,ISO9001 CI focus,"Heavy vehicle lifts"
Netherlands,51,Boal Group,Aluminum Extrusion,De Lier,500+,4,4,3,2,2,15,5,WARM,Extrusion process control,"AI planning; digital transform"
Netherlands,52,Faber Group,Logistics (Pallets),Hardenberg,500+,3,4,2,4,2,15,5,WARM,Digital workspace pooling,"Workspace 365 (Azure)"
Netherlands,53,Nooteboom Trailers,Transport Equipment,Wijchen,450+,3,4,3,2,2,14,5,WARM,Special transport innovation,"Standard mfg IT"
Netherlands,54,Ridder,Agri-Tech,Maasdijk,350+,3,4,3,2,2,14,5,WARM,Greenhouse drive systems,"Tech-forward company"
