Country,Rank,Company,Industry,Location,Employees,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Ireland,23,Hovione,Pharma,Cork,400,4,3,5,4,4,20,4,HOT,Particle Engineering spray,"Obsession with variation; spray drying"
Ireland,24,West Pharma,MedTech,Dublin/Waterford,1200,4,4,4,4,4,20,4,HOT,MedTech Co of Year 2025,"Integrated containment systems"
Ireland,25,PPD (Thermo Fisher),Pharma,Athlone,1500,4,4,5,4,3,20,4,HOT,Minitab in job posts,"Contract testing; high throughput"
Ireland,26,Combilift,Engineering,Monaghan,800,4,4,3,4,5,20,4,HOT,Best Managed customization,"Forklift customization; agile quality"
Ireland,27,Tipperary Co-op,Dairy,Tipperary,600,5,3,3,4,5,20,4,HOT,ISO 50001 Green Plus,"Very mature energy/process tracking"
Ireland,28,Danone Wexford,Food,Wexford,700,5,3,3,4,5,20,4,HOT,ISO 50001 carbon neutral,"Infant formula safety; Green Plus"
Ireland,29,Lakeland Dairies,Dairy,Cavan,2300,4,4,3,4,5,20,4,HOT,Post-merger scale,"Recent merger; high vol; cross-border"
Ireland,30,Amneal Pharma,Pharma,Cashel,500,4,3,4,4,4,19,4,WARM,Complex Generics cost,"Generics = cost pressure; tight control"
Ireland,31,Jazz Pharma,Pharma,Dublin,600,4,3,4,4,4,19,4,WARM,OpEx Champion roles,"Neuroscience focus; hiring OpEx"
Ireland,32,Chanelle Pharma,Pharma,Loughrea,600,3,4,4,4,4,19,4,WARM,Largest indigenous pharma,"Generics; R&D Labs onsite"
Ireland,33,Enva,Environment,Portlaoise,400,5,3,3,4,4,19,4,WARM,ISO 50001 Green Plus,"Resource recovery = chemical process"
Ireland,34,Kore Insulation,Build Mat.,Cavan,150,5,2,3,4,5,19,4,WARM,ISO 14001 Green Plus,"EPS waste 50% reduction target; density var"
Ireland,35,EirGen Pharma,Pharma,Waterford,350,4,3,4,4,4,19,4,WARM,High-potency OSD OpEx,"CDMO model; OpEx = stated core value"
Ireland,36,Ornua (Kerrygold),Dairy,Dublin,600,3,3,4,5,4,19,4,WARM,CI Lead hired recently,"Deploying robots UR20; dairy variation"
Ireland,37,Diageo (Guinness),Beverage,Dublin,1200,4,4,3,3,5,19,4,WARM,Smart brewery historian,"St James Gate massive data historian"
Ireland,38,Vantive (Baxter),MedTech,Castlebar,800,4,3,5,3,4,19,4,WARM,OpEx Engineer hiring,"Kidney care spin-off; prove efficiency"
Ireland,39,Alkermes,Pharma,Athlone,400,3,4,4,4,4,19,4,WARM,Small molecule scaling,"Acquired Avadel; scaling up"
Ireland,40,Hollister,MedTech,Ballina,1500,3,4,4,4,4,19,4,WARM,Lean plastic welding,"Ostomy high volume assembly"
Ireland,41,ABP Food Group,Food,Ardee,5000,3,5,3,4,4,19,4,WARM,Lean meat processing,"Massive volume; variation-sensitive yields"
Ireland,42,Dawn Meats,Food,Waterford,3000,3,4,3,4,4,18,4,WARM,Sustainability meat yields,"Variation in meat processing"
Ireland,43,PCI Pharma,Pharma,Meath,500,4,3,5,3,3,18,4,WARM,CDMO Minitab operator,"Production Operator Minitab use"
Ireland,44,SK Pharmteco,Pharma,Dublin,300,3,3,4,4,4,18,4,WARM,Continuous Flow Processing,"Perfect for continuous time-series data"
Ireland,45,MDS International,Engineering,Monaghan,200,5,2,2,4,5,18,4,WARM,Green Start Energy,"Heavy machinery mfg"
Ireland,46,PQE Technology,Engineering,Westmeath,150,5,2,2,4,5,18,4,WARM,Green Start Efficiency,"Precision components"
Ireland,47,Natural Sleep,Furniture,Limerick,100,5,2,2,4,5,18,4,WARM,ISO 14001 Green Plus,"Bed mfg flow lines"
Ireland,48,Glenisk,Food,Offaly,100,5,2,2,4,5,18,4,WARM,ISO 50001 Green Plus,"Carbon Neutrality program"
Ireland,49,Vitalograph,MedTech,Ennis,200,3,3,4,4,4,18,4,WARM,Respiratory device QC,"Electronic assembly + plastic molding"
Ireland,50,C&F Group,Engineering,Galway,300,3,4,3,4,4,18,4,WARM,Top 30 Employer precision,"Contract engineering/tooling"
