Country,Rank,Company,Industry,Location,Employees,Revenue_EUR_M,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Germany,28,Schwan-Stabilo,Consumer,Heroldsberg,5000,800,4,5,3,3,4,19,2,WARM,OpEx,Pens/Outdoor/Cosmetics.
Germany,29,Stockert,MedTech,Freiburg,300,80,5,5,4,3,2,19,2,WARM,Med electronics,Innovation leader.
Germany,30,3DQR,Tech/Mfg,Magdeburg,100,50,3,5,2,5,4,19,2,WARM,AR for Mfg,AR for manufacturing/maintenance.
Germany,31,Sikora AG,Machinery,Bremen,350,100,4,5,3,3,3,18,2,WARM,Measuring tech,Wire/cable production niche leader.
Germany,32,Grimme,Machinery (Agri),Damme,2800,550,4,5,3,3,3,18,2,WARM,Welding/Assembly,Harvesting tech.
Germany,33,Lemken,Machinery (Agri),Alpen,1700,500,4,5,3,3,3,18,2,WARM,Ind. Engineering,Soil cultivation.
Germany,34,ProMinent,Machinery,Heidelberg,2700,350,4,5,3,3,3,18,2,WARM,Water treatment,Metering pumps.
Germany,35,KOBRA Formen,Machinery,Lennestadt,400,80,4,5,3,3,3,18,2,WARM,Precision tools,Concrete block molds.
Germany,36,Boge Kompressoren,Machinery,Bielefeld,800,180,4,5,3,3,3,18,2,WARM,Precision,Compressors.
Germany,37,Faber-Castell,Consumer,Stein,6500,650,3,5,3,3,4,18,2,WARM,Wood/Chemical,Pencils. Chemical process.
Germany,38,Ritter Sport,Food,Waldenbuch,1700,500,3,5,2,3,4,17,2,WARM,Giveaway reducer,Temper/Mixing control.
Germany,39,SAACKE GmbH,Machinery,Bremen,1000,200,4,5,3,2,3,17,2,WARM,Hidden Champion,Burners. Precision engineering.
Germany,40,Meggle,Food (Dairy),Wasserburg,2500,1000,4,4,3,3,3,17,2,WARM,Dairy/Pharma,Lactose. Regulated.
Germany,41,Bahlsen,Food,Hannover,2600,540,3,5,2,3,4,17,2,WARM,Baking control,Biscuit mfg. CI Manager exists.
Germany,42,Waldner,Lab/Pkg,Wangen,1600,270,3,5,3,3,3,17,2,WARM,Manufacturing,Lab furniture/Packaging machines.
Germany,43,HWH,Materials,Braunschweig,50,100,4,5,4,2,2,17,2,WARM,Titanium,Titanium melting/alloys. Metallurgy.
Germany,44,Zott SE & Co,Food (Dairy),Mertingen,3000,900,3,5,2,3,3,16,2,WARM,Dairy variance,High volume dairy. Process control.
Germany,45,Ehrmann,Food (Dairy),Oberschönegg,2500,800,3,5,2,3,3,16,2,WARM,Dairy process,Dairy processing.
Germany,46,Lamy,Consumer,Heidelberg,400,120,3,5,3,2,3,16,2,WARM,Design/Quality,Writing instruments. Injection molding.
Germany,47,Vector Foiltec,Construction,Bremen,500,150,3,5,3,3,2,16,2,WARM,Extrusion,ETFE cladding.
Germany,48,Geratherm,MedTech,Geschwenda,200,25,4,4,4,2,2,16,2,WARM,Med diagnostics,Temp management.
Germany,49,Kieselstein,Machinery,Chemnitz,100,50,4,5,3,2,2,16,2,WARM,Wire drawing,Hidden Champion.
Germany,50,Seeberger,Food,Ulm,900,300,2,5,2,3,3,15,2,WARM,Snacks,Natural snacks. Packaging lines.
Germany,51,Teekanne,Food,Düsseldorf,1500,200,2,5,2,3,3,15,2,WARM,Packing,Tea. High speed lines.
Germany,52,Saturn Petcare,Food (Pet),Bremen,500,500,3,5,2,3,2,15,2,WARM,Canning,Wet food. Retort processes.
Germany,53,Wickert,Machinery,Landau,200,80,4,5,2,2,2,15,2,WARM,Presses,Hydraulic presses. Cleanroom.
Germany,54,Kölln,Food,Elmshorn,400,160,2,5,1,2,3,13,2,COOL,Oat processing,Mill technology.
Germany,55,Rapunzel,Food,Legau,500,250,2,5,1,2,3,13,2,COOL,Organic,Sourcing/Processing.
