Year,Month,Total,Russian Federation,Germany,Sweden,United Kingdom,China and Hong Kong,France,United States,Japan,Netherlands,Estonia,Norway,Switzerland,Spain,Italy,Poland,Denmark,Afghanistan,Albania,Algeria,United Arab Emirates,Argentina,Australia,Bahrain,Belgium,Brazil,Bulgaria,Chile,Egypt,South Africa,Philippines,Georgia,Hong Kong,Indonesia,India,Iran,Ireland,Iceland,Israel,Austria,Canada,Kazakhstan,Kenya,China,Colombia,Democratic People'S Republic Of Korea,"Korea, Republic Of",Greece,Croatia,Kuwait,Cyprus,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Morocco,Mexico,Nigeria,Pakistan,Peru,Portugal,Romania,Saudi Arabia,Sierra Leone,Singapore,Slovakia,Slovenia,"Taiwan, Province Of China",Tanzania,Thailand,Czech Republic,Turkey,Ukraine,Hungary,Uruguay,New Zealand,Belarus,Venezuela,Vietnam,Other
1995,Nov,177885,35541,11984,27309,13885,1877,4990,9608,9446,4002,5427,9864,3946,1573,4667,1443,5711,0,132,58,13,55,922,0,1356,376,305,86,37,116,27,60,64,74,591,536,323,368,328,1999,1416,4,6,1813,25,2,597,809,221,8,48,629,15,29,551,127,104,4,21,26,4,86,58,308,214,57,54,157,161,91,281,1,195,1814,380,356,930,4,125,565,49,1,6440
1995,Dec,193095,47685,18155,18274,24343,1370,7641,6701,9211,4096,7644,4795,4406,1620,6114,1059,2945,103,79,156,8,31,867,0,1247,1168,221,18,68,526,21,350,31,284,409,183,298,183,179,994,1408,2,13,1339,28,14,782,2921,67,0,18,931,2,46,762,26,63,22,11,46,6,26,22,215,203,24,2,258,72,51,115,9,221,889,266,302,356,0,110,467,80,4,7413
1996,Jan,177912,51836,22261,18619,13815,1137,6119,7751,6150,4791,4909,5487,3885,1869,4009,1016,4622,0,41,129,27,34,596,2,1887,486,69,32,124,89,173,130,53,117,253,223,252,217,196,837,980,3,32,1084,28,5,285,1267,119,1,23,846,7,45,616,54,134,14,48,25,0,80,5,200,197,26,9,190,51,39,17,0,211,263,512,124,656,10,134,62,92,0,5175
1996,Feb,172733,28981,24610,20802,14330,882,9137,8176,8045,7080,3996,6803,5121,2541,4335,1239,4044,4,32,94,5,22,465,0,2360,528,246,42,116,41,269,180,99,128,204,202,368,270,213,1058,1287,131,21,783,23,7,576,815,70,4,7,951,21,60,573,163,85,6,40,26,7,27,2,187,155,24,8,288,98,118,118,7,345,889,406,364,613,4,97,61,18,2,6178
1996,Mar,214342,46089,27913,25898,15729,1108,10629,10348,6436,7727,5853,8174,4657,4044,5515,1732,5075,19,44,8,34,166,669,2,2662,391,117,24,156,223,36,160,82,232,511,226,489,306,209,1965,1361,223,11,1026,12,26,513,834,104,0,29,1232,39,47,761,48,90,0,178,44,28,97,29,350,193,51,4,371,99,115,238,37,254,570,680,289,886,4,72,27,39,40,7633
1996,Apr,161358,29512,13663,27318,13240,1760,5706,8495,4667,4079,5185,7458,3264,3032,5044,1226,4039,0,5,1,92,51,799,0,1178,566,85,37,95,88,124,100,86,87,333,228,461,211,347,1152,1008,23,20,1674,21,7,508,521,125,3,35,958,10,82,463,53,100,0,47,23,82,15,10,550,400,42,11,281,102,115,135,38,728,719,327,143,771,0,83,37,35,10,7229
1996,May,236221,35502,22203,49855,18785,1897,6083,14459,7438,5808,5712,9546,4374,2258,6867,1839,7457,0,44,27,29,123,1377,3,1649,881,222,62,230,298,204,269,143,303,692,434,624,1104,771,3571,1857,9,65,1754,31,89,1182,674,46,0,34,1034,16,88,654,123,199,14,412,77,84,51,1,430,148,43,16,269,56,253,347,13,788,1128,1023,195,1108,2,195,60,98,79,8333
1996,Jun,443840,33029,115941,68120,25429,2935,13506,29048,14216,17292,6264,16468,10233,4615,11143,3339,11592,2,30,67,44,142,3793,2,3193,1271,400,101,323,599,116,377,451,349,997,587,1278,1075,1088,4600,3070,138,67,2484,13,109,2291,1653,127,7,269,1327,8,92,867,220,372,31,274,132,52,83,38,1085,476,112,62,322,173,255,1867,13,1601,2541,1165,186,1881,2,509,37,69,52,13653
1996,Jul,617894,37977,149721,139520,21384,2094,19869,29622,16503,24859,5924,32907,23530,10242,14000,7388,12786,1,83,55,669,220,3675,1,4246,1725,365,75,226,251,131,256,639,613,461,425,1050,846,2053,7732,3253,15,137,1455,38,57,2926,1539,137,17,99,1126,22,27,407,369,108,7,131,208,55,149,42,1556,225,83,9,357,208,748,3023,12,1976,2922,1090,173,2028,243,515,24,41,21,16192
1996,Aug,512090,48473,81141,85831,26372,3910,18157,31993,19600,17511,7660,18641,14626,17187,29972,4769,10022,0,56,156,55,193,4050,22,4171,1731,479,116,253,254,372,314,591,367,1382,754,1018,1230,1828,5315,3956,106,28,3319,31,21,2635,2853,117,81,336,1998,6,42,866,380,292,408,50,338,46,47,35,2289,336,686,15,287,301,355,2046,82,1198,2610,815,453,2740,1036,566,15,85,30,17582
1996,Sep,259504,26690,26658,47716,20443,4685,7784,19588,10803,7815,5345,11464,5555,4021,7404,2131,8065,3,52,112,11,174,2109,1,2568,1164,335,137,261,367,64,248,294,367,871,454,924,683,918,2365,2299,6,145,4391,39,21,1651,823,74,25,32,1264,36,31,637,350,170,70,54,274,52,186,46,752,229,82,26,288,140,161,511,67,734,1131,825,331,1120,17,269,61,65,47,9323
1996,Oct,199584,32309,16273,32539,16850,2262,6410,12141,6839,5711,5489,7634,5692,3162,4723,1922,6531,8,13,37,6,46,1476,0,1924,677,336,96,187,263,188,197,169,273,951,237,903,452,302,1259,2001,13,18,2093,26,26,1345,792,196,7,111,1224,5,117,750,84,144,28,52,83,48,61,29,399,230,49,32,508,84,112,225,18,1223,1052,705,383,883,1,112,138,73,177,7440
1996,Nov,193384,39578,13040,30711,16950,1876,5220,9486,8876,4228,5310,11407,4166,1907,3663,1895,5560,0,24,50,5,84,874,15,1697,738,350,356,93,162,122,169,35,77,730,473,578,431,374,2532,1455,3,5,1841,52,16,748,661,31,7,18,694,31,48,1027,87,161,0,68,128,37,23,20,273,679,18,3,252,170,368,117,12,364,1081,515,674,855,4,99,728,20,389,5760
1996,Dec,206336,54485,17260,19013,22908,1834,7276,7208,10697,4960,9672,4912,4305,2704,5503,1324,3308,106,45,26,2,11,1208,0,1570,1172,242,119,52,710,87,63,41,181,329,261,306,292,340,1111,1073,4,9,1793,0,4,622,4145,9,4,26,1767,2,46,503,92,117,10,13,20,34,45,19,440,200,32,0,364,137,53,153,0,155,720,396,237,432,1,53,87,54,4,6818
1997,Jan,208132,75246,20090,21322,13711,1040,6165,7679,6940,5891,5632,6085,3991,2002,4758,1335,4586,86,2,8,37,23,623,0,1765,388,142,35,129,113,37,160,40,89,530,357,413,299,292,875,954,8,1,1000,24,137,435,2037,28,2,63,704,3,58,563,247,19,17,31,72,39,174,41,391,129,14,0,128,100,141,101,0,558,646,454,110,497,2,42,508,63,2,4673
1997,Feb,172781,29382,20602,21085,14181,750,8710,8549,9425,7457,4226,8794,3777,3242,4211,1680,4498,2,74,27,4,21,620,0,2488,330,134,56,74,93,16,72,61,124,596,196,402,386,362,1103,1083,18,6,689,9,10,453,641,38,0,22,639,19,29,562,52,176,1,41,198,32,38,36,598,130,20,7,258,257,38,182,3,238,739,470,250,746,2,43,10,179,0,6009
1997,Mar,218104,41560,24504,26959,15832,1894,9772,14490,8397,7644,5427,10248,4484,4818,4846,1895,4920,0,15,104,25,37,1032,0,2444,461,258,45,185,147,64,108,36,150,671,223,983,317,516,2219,1238,0,8,1858,25,58,476,763,95,2,18,1371,6,23,861,137,239,6,42,74,64,37,54,544,205,36,33,390,229,308,160,3,323,1040,406,116,1106,0,148,103,252,17,7500
1997,Apr,197087,31170,17618,34906,16460,2051,8278,10334,4338,5495,5318,9008,3864,2728,4936,2183,5452,30,9,25,25,87,1136,0,1659,405,148,82,68,116,79,94,211,1013,629,233,481,453,361,1444,2755,5,7,1840,106,28,758,776,120,17,21,2011,19,37,897,51,378,1,80,81,55,40,34,439,253,50,13,223,748,255,153,17,497,1521,297,80,1220,9,100,129,62,152,7825
1997,May,287621,41703,25365,62707,20781,2611,8506,16052,6963,6867,5555,12613,5486,3172,6875,3095,8070,0,23,13,10,129,1492,0,2048,875,235,133,90,284,102,269,211,343,884,461,614,409,535,3575,4049,33,31,2400,36,78,794,1189,129,16,33,2540,10,36,734,241,545,4,58,107,51,49,13,732,384,95,47,387,889,280,415,6,986,2705,487,179,1665,2,227,240,64,59,15440
1997,Jun,451500,38309,79512,75359,28414,3392,16280,27873,15728,21661,8136,18910,9891,5595,11260,6467,12296,0,49,56,54,372,3716,14,4064,1446,394,63,273,665,179,451,226,397,1041,730,1122,669,803,5778,3467,51,58,3166,97,59,2197,1817,199,206,171,1446,41,96,775,360,373,17,117,75,12,100,34,1050,420,101,89,842,455,451,1970,30,1449,2114,898,466,2606,55,547,246,115,96,20921
1997,Jul,707868,50761,118604,172572,28105,2505,19720,34276,21236,26267,9903,38958,23542,12632,18721,11108,15666,6,167,9,137,1716,5032,0,4770,3028,540,342,465,851,333,589,511,680,1316,792,1070,772,2547,6934,4243,64,153,1994,109,229,3215,3887,276,96,313,2357,51,27,1037,311,367,10,205,636,42,136,155,1906,856,282,216,300,892,754,3856,18,2133,3397,1392,347,2941,952,944,177,109,68,29232
1997,Aug,570710,66785,86522,95376,30498,3727,17328,32443,21289,21371,10651,24388,13139,16482,28958,5052,11338,2,40,22,109,764,3920,6,4462,1711,462,189,397,652,113,586,446,922,913,938,918,1511,2109,5048,3584,114,49,3281,98,278,3099,3336,211,37,125,3322,8,25,1471,231,323,6,60,405,11,45,84,1781,377,150,35,307,570,388,1496,38,860,1855,957,448,3411,848,487,1030,370,10,23502
1997,Sep,269426,34127,26574,44852,22241,2943,6300,20120,12067,7528,6279,12568,4299,4502,6732,2448,8243,1,11,65,21,396,2139,3,2456,795,253,141,180,459,133,702,217,716,882,656,1158,595,758,2242,2513,6,65,2726,34,73,1468,1127,139,8,48,1233,31,38,947,223,205,5,91,296,73,81,43,750,363,79,12,335,218,146,640,38,271,1464,747,395,1574,13,301,93,269,25,13418
1997,Oct,201774,36357,14790,33712,16885,3602,5487,11862,7191,4850,6444,9304,2801,2008,3866,1738,6139,0,43,121,20,203,1396,0,1688,533,202,290,153,128,142,256,192,243,786,604,639,435,390,1809,1781,52,42,3410,27,22,566,760,101,0,8,1233,44,44,594,38,188,13,23,92,16,61,8,469,388,36,25,188,197,148,218,2,306,924,321,217,1560,3,157,123,295,34,9731
1997,Nov,212699,50285,14713,29793,15842,2833,5574,8564,8815,4540,8887,9883,3649,1936,3860,1844,5879,7,74,186,3,143,921,2,1279,519,293,80,225,174,108,237,95,213,780,197,437,444,400,3284,1606,167,29,2738,40,4,786,586,139,4,23,2012,35,39,1041,84,84,7,27,141,12,28,38,539,234,225,9,212,110,155,165,5,251,1711,1239,273,964,0,84,606,71,82,9096
1997,Dec,246153,73904,17995,20185,26797,1997,8651,7658,10321,5051,10897,5571,4037,3237,6692,1702,3223,0,89,42,12,22,1048,0,1756,328,222,27,84,683,29,205,76,271,769,192,450,142,282,1458,2048,162,22,1921,6,11,481,4295,52,0,12,2699,7,27,991,42,204,0,30,89,13,8,24,757,154,32,197,261,536,132,68,8,174,1347,386,494,704,0,90,503,250,49,10762
1998,Jan,267086,115368,20827,20124,15647,1198,8021,8130,7493,6869,8632,6000,3566,2865,5023,1340,4226,1,149,19,16,58,762,0,1681,832,315,48,392,161,28,133,118,78,428,178,419,285,435,1565,1118,29,3,1080,58,67,173,2715,152,0,242,1301,36,47,701,83,143,3,49,62,1,25,41,576,344,36,4,145,158,34,148,2,248,779,592,211,684,5,67,40,202,0,11252
1998,Feb,200283,36078,25229,22488,17379,1587,8773,8115,8525,9829,6837,8431,4477,3466,4939,1671,4060,12,168,58,0,41,780,0,2407,506,119,112,198,283,15,135,125,63,528,210,716,270,411,1130,1286,23,3,1462,19,84,277,1309,306,3,8,1394,34,40,762,57,235,3,28,128,10,20,4,930,188,22,1,129,108,99,88,1,141,676,436,189,1078,6,79,25,30,38,8353
1998,Mar,236386,48376,26827,28184,16698,1961,10000,10591,7503,8481,9159,11374,4710,6009,5793,2122,5149,4,198,31,36,258,835,9,2047,514,176,56,213,210,27,102,69,121,682,323,497,274,469,1626,1517,25,44,1892,60,56,732,1444,235,7,15,1965,20,144,949,79,226,10,18,242,17,36,16,698,245,44,1,266,193,169,185,18,132,1133,369,266,1096,0,176,81,198,63,9590
1998,Apr,195610,31024,17812,29894,16631,2276,8164,9581,4953,5639,6763,9547,2921,4997,6255,1862,4903,7,145,15,12,130,946,9,3002,518,275,20,176,208,119,76,130,88,805,181,905,384,493,1453,1812,63,11,2146,31,12,243,684,119,1,17,1296,19,153,1028,80,349,4,22,132,0,29,0,814,111,55,12,233,164,172,62,0,184,1127,434,214,913,0,70,18,8,27,9422
1998,May,267188,34564,24958,52171,22038,3390,7760,16174,7844,7649,5479,10914,5210,3212,6772,3575,7324,4,115,14,16,425,1773,0,2730,687,340,91,250,323,61,150,201,89,1360,247,954,700,583,4416,2491,8,44,3189,21,29,472,1381,225,21,47,1249,15,22,808,260,427,94,34,141,25,57,59,731,244,71,16,201,517,145,321,44,202,2323,374,238,1552,0,197,16,35,277,14002
1998,Jun,479843,42345,75737,77290,33503,4359,14812,33753,15019,26356,8239,18836,10017,6896,13203,6156,12477,4,362,38,19,322,3564,4,4978,1696,293,176,313,749,72,257,258,180,1254,578,968,1201,1373,5773,3877,40,61,4101,48,3,568,1867,252,15,71,2156,13,60,1801,190,165,4,75,404,46,57,58,1631,690,280,33,426,902,320,1812,19,618,2273,995,1334,2400,17,508,76,134,121,25892
1998,Jul,672144,54395,110298,156124,32372,3036,19975,32864,17063,30241,9582,49279,25980,10232,15725,11988,14859,0,165,54,24,300,4472,0,6022,1612,170,142,120,445,96,358,335,114,1087,483,1341,1001,1929,6569,3483,37,115,2701,21,39,1125,1588,199,140,134,3409,10,145,913,225,75,6,58,303,15,13,15,1579,199,232,26,100,326,558,2841,24,362,2984,1067,283,3230,43,621,203,119,23,21703
1998,Aug,558027,63284,80301,85260,33383,2692,18894,29118,18207,25037,10769,22539,13867,16626,32459,7576,10562,4,108,48,61,483,3870,0,4822,1893,185,124,367,513,68,321,303,191,1706,399,1460,1584,2022,5376,3165,12,144,2389,90,42,1046,2786,188,125,202,4700,35,126,1433,527,142,73,53,358,114,50,49,2076,707,171,20,200,557,399,1843,69,586,1939,700,524,3367,751,837,336,48,17,28549
1998,Sep,295007,23386,28378,42424,30927,3981,8139,21847,12730,9350,7014,11068,5363,5005,8387,3272,7655,22,89,4,44,246,2165,0,2809,1043,300,88,230,330,95,204,211,224,1673,316,1693,682,793,3526,2619,40,92,3770,62,28,649,1651,235,16,80,2195,48,112,1124,175,93,10,78,165,23,124,43,788,444,70,38,297,246,335,739,35,703,1380,679,252,1709,6,308,52,8,90,27683
1998,Oct,196004,22735,16676,32494,17292,2984,5610,11798,5262,5915,6799,8478,2181,3165,8061,2687,5588,26,119,29,15,158,1163,0,1420,670,158,37,65,216,111,163,208,98,1449,151,1293,339,632,2006,1269,30,18,2776,19,0,328,1234,143,6,20,1155,26,27,1165,59,88,43,18,349,6,32,16,1098,614,42,11,1077,186,179,385,15,147,974,605,315,1619,0,64,121,24,3,11447
1998,Nov,213790,30447,23342,30053,21111,2761,5756,10257,8768,5448,8860,9584,3564,2750,6741,2611,5787,9,185,112,31,84,1267,3,1911,522,440,39,315,228,45,47,65,54,1037,170,579,387,409,2341,1405,149,12,2696,129,5,440,1080,298,28,32,1525,6,18,1169,140,67,1,6,91,42,32,25,559,315,39,65,211,288,162,143,3,250,1376,597,397,1408,3,100,834,18,27,9479
1998,Dec,235498,49795,22283,20102,35474,2189,10137,10521,8563,5473,9143,5474,4620,3054,8454,1670,3642,57,111,5,8,32,1240,0,1817,480,189,76,83,666,43,39,83,53,721,123,512,168,436,1667,1470,46,55,2106,0,4,511,4132,96,23,21,2714,0,71,919,122,58,0,12,95,28,34,10,804,208,30,2,188,100,152,186,79,450,837,249,377,520,0,162,116,3,0,9305
1999,Jan,239987,77520,23698,21859,18746,963,8468,8404,6788,7131,7665,5757,3994,2850,6561,1533,5042,2,193,34,12,56,1050,0,1942,405,240,45,40,212,26,162,45,54,643,152,1804,269,268,1261,1278,12,40,918,14,8,398,2607,109,6,108,1612,0,7,895,154,48,0,2,94,1,8,15,624,102,15,0,145,84,32,45,0,227,613,534,304,858,2,133,61,3,6,11971
1999,Feb,199259,20292,30067,22460,20205,1391,11476,7441,7764,9932,5703,7752,5671,2466,6216,2412,4920,46,171,40,11,47,667,11,3456,304,201,43,53,155,15,50,78,80,786,108,1602,327,855,2011,1329,207,32,1313,31,1,271,618,50,14,2,1319,0,14,846,197,8,6,112,40,5,21,6,980,342,46,3,167,280,257,235,6,147,968,411,300,1268,0,97,102,20,2,9901
1999,Mar,242715,28790,33611,29780,20256,2149,12047,15180,6784,9867,8109,8542,5959,4932,7667,2861,6998,25,150,76,3,45,959,0,4577,349,371,44,160,358,45,127,113,124,852,182,1328,405,703,1921,4000,29,6,2036,33,10,379,1119,67,39,7,1667,12,18,891,208,18,0,12,151,9,59,32,825,136,104,22,147,426,201,119,22,105,864,390,362,1688,0,249,213,2,11,9578
1999,Apr,193065,18772,18399,33054,18377,1630,10004,9407,3795,5915,6308,9636,3369,4141,6784,3202,6487,53,102,24,3,118,1077,0,2598,388,279,39,226,399,109,100,112,117,993,154,1237,420,586,1737,1200,7,1,1518,6,0,358,1403,91,0,26,1342,21,9,745,214,33,16,12,183,1,35,36,2177,171,99,3,237,427,58,221,9,170,979,329,117,1694,0,235,26,26,100,8579
1999,May,248664,19991,22920,49333,24030,4002,7067,18011,6945,6759,6560,10204,4172,3127,8347,2953,7736,45,103,15,5,65,1607,0,2351,376,287,136,195,391,51,134,193,140,1167,88,719,737,649,4070,2287,12,79,3809,31,46,665,1919,125,9,40,1534,11,8,954,317,75,5,50,256,45,22,18,1673,135,85,21,336,243,172,372,30,191,1227,379,113,1874,0,362,7,8,57,13381
1999,Jun,474063,25704,79429,74129,36530,4003,16929,35165,14918,28675,7003,18700,11297,6697,13452,5668,15163,42,114,99,5,270,3502,0,4800,1023,504,214,210,647,95,28,353,189,1234,487,1237,1031,1312,5504,4221,11,111,3650,35,78,1738,2017,196,18,46,2836,20,447,1019,278,87,44,92,925,1,41,18,1600,474,125,126,657,430,428,3153,120,374,2124,1498,707,2876,21,762,317,36,38,23906
1999,Jul,708780,40578,107610,159050,33683,2745,22399,34209,19202,34007,9703,71817,25345,12644,19632,9827,18547,49,30,58,17,326,5070,0,6602,1830,305,153,441,657,221,145,438,195,1095,242,1406,849,2526,6979,3917,4,222,2307,3,20,3151,3808,191,32,185,2924,18,397,939,461,261,27,86,277,32,54,26,2038,339,133,10,187,532,541,3485,13,816,3307,1512,1450,2777,31,1184,48,12,29,20362
1999,Aug,560386,45690,82801,84906,36580,3419,20229,32285,23617,24143,9530,27104,15038,17908,39031,5448,12358,61,118,89,96,299,3206,1,4074,972,350,170,140,498,69,24,265,164,1393,234,1279,782,2935,4646,3337,40,98,3154,25,46,1917,3459,246,47,150,3430,24,336,1752,502,62,66,92,293,33,60,94,3427,296,114,23,331,421,443,2171,33,403,2839,961,372,3271,2705,837,26,10,37,20451
1999,Sep,292092,20115,31659,47698,27479,4848,8709,20752,12586,7734,6233,13183,5459,5776,9031,3455,8951,33,226,121,0,88,2434,0,3360,695,250,175,330,368,32,58,199,140,1118,198,1265,889,816,3315,2284,6,27,4649,54,27,915,2232,126,8,86,1736,39,295,1154,283,94,28,88,344,82,33,23,1838,503,47,72,326,348,316,799,0,230,1213,670,272,3140,244,508,10,25,8,17132
1999,Oct,226593,23112,20239,32325,20243,3243,7163,20569,6507,5704,6489,9772,2979,3892,8671,1804,7546,47,237,118,4,85,1092,0,3145,386,204,78,153,144,57,21,162,47,1023,320,1088,454,469,2525,1937,16,30,3081,19,64,739,1099,185,9,73,1293,12,253,967,257,47,26,51,224,8,25,3,1288,294,55,24,310,241,107,99,3,327,1044,824,221,1997,0,435,34,8,5,16742
1999,Nov,226993,25396,19159,30558,25268,2464,6960,13417,9567,6762,7496,9986,4043,2517,6531,2495,6952,56,74,86,17,65,999,0,3069,513,414,124,106,375,110,124,31,60,943,268,817,488,476,2197,1684,38,30,2433,10,33,577,1258,124,14,87,1531,20,234,903,232,60,7,30,221,8,24,1,731,255,41,92,424,358,242,108,1,144,1390,564,295,2055,2,386,96,3,3,19261
1999,Dec,263332,54853,23650,18250,40404,1860,11099,8772,11065,5557,10424,5104,4394,4215,10067,2015,4680,63,93,242,33,54,978,0,3864,310,316,7,82,331,11,32,79,198,1003,57,1434,199,356,1533,734,46,2,1781,1,5,291,6715,158,3,685,2538,48,161,920,235,21,36,57,174,0,22,1,881,296,22,0,324,233,176,226,0,200,1121,506,298,1162,0,166,89,1,4,15309
2000,Jan,273318,91050,28913,21721,22322,1621,10931,10020,8091,6672,10614,5796,3551,3162,7644,2281,5323,21,41,52,25,96,555,0,2235,271,131,36,152,318,18,26,137,11,945,86,1052,215,418,1219,1177,4,11,1484,0,37,422,2415,83,5,16,1702,31,102,1124,79,33,5,0,69,3,8,5,383,116,11,2,170,73,85,140,0,81,714,314,344,1513,0,117,240,4,25,12399
2000,Feb,219681,19554,29631,25505,25690,1555,11905,9298,11160,10655,7466,8057,5885,3662,6543,2546,6031,11,115,69,3,101,630,0,3439,182,187,34,84,215,116,6,84,26,765,228,858,307,604,1966,1363,35,15,1471,1,123,387,654,69,51,9,1405,16,170,689,249,78,0,11,151,8,22,4,841,261,71,9,184,87,54,184,1,61,802,304,140,1321,6,150,161,3,9,12878
2000,Mar,270952,28152,34698,33724,24207,2889,13023,13360,8468,11583,10637,10875,5696,5421,7585,3250,7963,13,116,129,8,64,1048,0,4364,381,357,29,189,653,125,20,136,37,1721,89,1278,512,669,2908,1354,40,16,2753,5,41,596,1461,122,36,31,2474,71,271,924,94,141,65,11,171,5,48,16,1394,355,0,73,303,436,355,243,1,331,1255,747,352,1783,2,136,265,44,11,15743
2000,Apr,202819,19327,19283,35963,19086,3129,8035,11794,4313,6018,6639,8984,3303,4403,6427,2219,5765,59,83,103,17,64,1057,0,2216,422,251,73,118,136,15,4,115,49,1270,61,1329,336,750,1533,1983,5,4,3014,13,28,638,960,56,3,100,1686,13,299,627,152,59,0,129,144,4,33,7,700,222,51,11,288,200,144,132,2,328,1092,324,82,1159,0,181,181,31,3,12982
2000,May,292451,22027,23480,59056,26093,4893,9023,21024,9132,7835,7433,10396,4490,5082,8770,3564,8934,48,244,280,6,147,1870,0,2831,582,361,124,267,264,152,36,243,90,1615,129,1271,696,463,3511,1808,1,40,4650,10,80,1715,1423,124,9,80,2219,38,335,977,262,91,6,97,427,7,25,80,767,552,99,11,505,345,386,267,32,334,1315,520,268,2882,9,296,34,21,52,22790
